0:0:0:0:0:0:0:1 - - [29/May/2023:12:12:40 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:13:43 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [29/May/2023:12:13:58 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [29/May/2023:12:15:15 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [29/May/2023:12:15:47 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [29/May/2023:12:20:34 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [29/May/2023:12:21:02 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [29/May/2023:12:23:30 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [29/May/2023:12:23:33 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:24:49 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [29/May/2023:12:29:54 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [29/May/2023:12:30:33 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 1365
